DT,ts_code,trade_date,OPEN,CLOSE,HIGH,LOW,pre_close,change,pct_chg,swing,vol
2015-03-30,SPTSX,20150330,680.54,680.33,684.09,679.36,681.43,-1.1,-0.16,0.69,67185.0
2015-03-31,SPTSX,20150331,681.41,680.07,683.48,677.2,680.33,-0.26,-0.04,0.92,123237.0
2015-04-01,SPTSX,20150401,680.7,681.32,683.14,679.61,680.07,1.25,0.18,0.52,70839.0
2015-04-02,SPTSX,20150402,680.93,683.02,684.29,680.15,681.32,1.7,0.25,0.61,60966.0
2015-04-06,SPTSX,20150406,685.6,688.66,691.08,685.51,683.02,5.64,0.83,0.82,57435.0
2015-04-07,SPTSX,20150407,691.49,689.57,691.94,687.13,688.66,0.91,0.13,0.7,69149.0
2015-04-08,SPTSX,20150408,690.08,688.88,691.34,687.19,689.57,-0.69,-0.1,0.6,75255.0
2015-04-09,SPTSX,20150409,692.74,691.0,694.98,690.72,688.88,2.12,0.31,0.62,84634.0
2015-04-10,SPTSX,20150410,691.54,698.88,699.01,691.46,691.0,7.88,1.14,1.09,89759.0
2015-04-13,SPTSX,20150413,700.44,695.62,700.62,693.72,698.88,-3.26,-0.47,0.99,74396.0
2015-04-14,SPTSX,20150414,694.6,696.05,696.81,693.78,695.62,0.43,0.06,0.44,62397.0
2015-04-15,SPTSX,20150415,697.49,705.25,707.21,697.49,696.05,9.2,1.32,1.4,72527.0
2015-04-16,SPTSX,20150416,705.3,705.59,707.05,702.31,705.25,0.34,0.05,0.67,72096.0
2015-04-17,SPTSX,20150417,705.61,702.85,707.09,701.82,705.59,-2.74,-0.39,0.75,63091.0
2015-04-20,SPTSX,20150420,705.4,703.65,707.24,703.31,702.85,0.8,0.11,0.56,59167.0
2015-04-21,SPTSX,20150421,705.63,700.17,707.95,699.36,703.65,-3.48,-0.49,1.22,61003.0
2015-04-22,SPTSX,20150422,700.72,697.55,700.72,696.59,700.17,-2.62,-0.37,0.59,101928.0
2015-04-23,SPTSX,20150423,696.95,699.48,700.8,696.73,697.55,1.93,0.28,0.58,87928.0
2015-04-24,SPTSX,20150424,698.98,697.62,699.97,697.37,699.48,-1.86,-0.27,0.37,73869.0
2015-04-27,SPTSX,20150427,698.42,690.1,698.9,689.99,697.62,-7.52,-1.08,1.28,89074.0
2015-04-28,SPTSX,20150428,690.99,695.22,695.93,690.99,690.1,5.12,0.74,0.72,70416.0
2015-04-29,SPTSX,20150429,695.37,697.37,699.29,695.37,695.22,2.15,0.31,0.56,80097.0
2015-04-30,SPTSX,20150430,697.52,696.0,698.17,694.53,697.37,-1.37,-0.2,0.52,77847.0
2015-05-01,SPTSX,20150501,695.46,699.43,699.43,694.93,696.0,3.43,0.49,0.65,55049.0
2015-05-04,SPTSX,20150504,698.51,699.12,702.27,697.44,699.43,-0.31,-0.04,0.69,69240.0
